Year,Funding_Source,Experiment,location,ID,Trt_code,Treatment,Dry_seedheads(g),plot.yield.g,yield.kgperha,Seedhead_in_bag(g),bag_tare(g),Date Measured,Lodging,Height_1,Height_2,Height_3,Height_4,Height_5,Block,stand.age,Napplied,Ntiming,Ntiming_newlabel,Napplied_update
2018,Forever Green,IWG N,RSMT R-100,101,4,100 fall,65.8,29.8,323.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,100,Fall,Unfertilized (Fall),0
2018,Forever Green,IWG N,RSMT R-100,102,5,120 fall,82.4,41.7,452.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,120,Fall,Unfertilized (Fall),0
2018,Forever Green,IWG N,RSMT R-100,103,6,80 fall split,64.3,25.5,276.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,80,Fall split,Split (Fall split),20
2018,Forever Green,IWG N,RSMT R-100,104,12,100 spring,131.1,40.3,437.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,100,Spring,Spring,100
2018,Forever Green,IWG N,RSMT R-100,105,11,80 spring,123.3,45.6,495,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,80,Spring,Spring,80
2018,Forever Green,IWG N,RSMT R-100,106,17,120 spring split,143.5,44.5,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,120,Spring split,Spring split,120
2018,Forever Green,IWG N,RSMT R-100,107,15,80 spring split,154.9,49.3,535.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,80,Spring split,Spring split,80
2018,Forever Green,IWG N,RSMT R-100,108,7,100 fall split,165.7,61.7,669.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,100,Fall split,Split (Fall split),40
2018,Forever Green,IWG N,RSMT R-100,109,16,100 spring split,144.4,41.3,448.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,100,Spring split,Spring split,100
2018,Forever Green,IWG N,RSMT R-100,110,3,80 fall,98.9,34.8,377.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,80,Fall,Unfertilized (Fall),0
2018,Forever Green,IWG N,RSMT R-100,111,9,140 fall split,133.2,43.3,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,140,Fall split,Split (Fall split),80
