Year,Funding_Source,Experiment,location,ID,Trt_code,Treatment,Dry_seedheads.g.,plot.yield.g,yield.kgperha,Seedhead_in_bag.g.,bag_tare.g.,Date.Measured,Lodging,Height_1,Height_2,Height_3,Height_4,Height_5,Napplied,Ntiming,Block,stand.age,summerNrate
2018,Forever Green,IWG N,Staples,403,7,100 fall split,165.7,73.5,878.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,Fall split,1,1,40
2018,Forever Green,IWG N,Staples,404,16,100 spring split,149.9,59,705.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,Spring split,1,1,40
2018,Forever Green,IWG N,Staples,408,1,control,92.9,40.8,487.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,control,1,1,0
2018,Forever Green,IWG N,Staples,410,8,120 fall split,189.3,83,992.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,Fall split,1,1,60
2018,Forever Green,IWG N,Staples,411,17,120 spring split,216.1,97.9,1170,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,Spring split,1,1,60
2018,Forever Green,IWG N,Staples,412,18,140 spring split,139,63.5,759.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,Spring split,1,1,80
2018,Forever Green,IWG N,Staples,413,9,140 fall split,186.5,77.8,930,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,Fall split,1,1,80
2018,Forever Green,IWG N,Staples,415,15,80 spring split,183.3,73.8,882.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,Spring split,1,1,20
2018,Forever Green,IWG N,Staples,418,6,80 fall split,111.7,53.8,643.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,Fall split,1,1,20
2018,Forever Green,IWG N,Staples,502,8,120 fall split,172.2,60.1,718.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,Fall split,2,1,60
2018,Forever Green,IWG N,Staples,504,17,120 spring split,134,57.8,690.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,Spring split,2,1,60
2018,Forever Green,IWG N,Staples,505,15,80 spring split,192,84.4,1009,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,Spring split,2,1,20
2018,Forever Green,IWG N,Staples,507,7,100 fall split,110.4,46.8,559.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,Fall split,2,1,40
2018,Forever Green,IWG N,Staples,508,9,140 fall split,158.2,68.4,817.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,Fall split,2,1,80
2018,Forever Green,IWG N,Staples,512,18,140 spring split,188.3,74.3,888.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,Spring split,2,1,80
2018,Forever Green,IWG N,Staples,514,6,80 fall split,113.1,41.4,494.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,Fall split,2,1,20
2018,Forever Green,IWG N,Staples,517,1,control,58.4,26.8,320.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,control,2,1,0
2018,Forever Green,IWG N,Staples,518,16,100 spring split,167.8,72.3,864.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,Spring split,2,1,40
2018,Forever Green,IWG N,Staples,601,16,100 spring split,139.1,59.6,712.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,Spring split,3,1,40
2018,Forever Green,IWG N,Staples,603,17,120 spring split,122.7,58.5,699.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,Spring split,3,1,60
2018,Forever Green,IWG N,Staples,605,1,control,49.5,22,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,control,3,1,0
2018,Forever Green,IWG N,Staples,606,9,140 fall split,116.1,40.2,480.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,Fall split,3,1,80
2018,Forever Green,IWG N,Staples,611,7,100 fall split,143.1,55.4,662.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,Fall split,3,1,40
2018,Forever Green,IWG N,Staples,614,8,120 fall split,124.4,43.8,523.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,Fall split,3,1,60
2018,Forever Green,IWG N,Staples,615,6,80 fall split,73.6,35.7,426.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,Fall split,3,1,20
2018,Forever Green,IWG N,Staples,616,15,80 spring split,103.3,39.1,467.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,Spring split,3,1,20
2018,Forever Green,IWG N,Staples,618,18,140 spring split,102,38.5,460.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,Spring split,3,1,80
2019,Forever Green,IWG N,Staples,403,7,100 fall split,56.1,21.2,570.2,NA,NA,NA,2,150,127,163,150,142,100,Fall split,1,2,40
2019,Forever Green,IWG N,Staples,404,16,100 spring split,46.7,22,591.7,NA,NA,NA,1,158,148,132,132,144,100,Spring split,1,2,40
2019,Forever Green,IWG N,Staples,408,1,control,29,19.4,521.8,NA,NA,NA,2,124,146,121,147,98,0,control,1,2,0
2019,Forever Green,IWG N,Staples,410,8,120 fall split,41.7,20.4,548.7,NA,NA,NA,0,147,160,146,140,137,120,Fall split,1,2,60
2019,Forever Green,IWG N,Staples,411,17,120 spring split,53,18.8,505.6,NA,NA,NA,1,116,136,145,138,168,120,Spring split,1,2,60
2019,Forever Green,IWG N,Staples,412,18,140 spring split,18,8.6,231.3,NA,NA,NA,1,147,136,135,151,132,140,Spring split,1,2,80
2019,Forever Green,IWG N,Staples,413,9,140 fall split,35.6,14.6,392.7,NA,NA,NA,0,161,144,154,149,141,140,Fall split,1,2,80
2019,Forever Green,IWG N,Staples,415,15,80 spring split,37.9,18.2,489.5,NA,NA,NA,0,146,154,150,148,156,80,Spring split,1,2,20
2019,Forever Green,IWG N,Staples,418,6,80 fall split,59.6,30.2,812.3,NA,NA,NA,1,140,144,138,143,145,80,Fall split,1,2,20
2019,Forever Green,IWG N,Staples,502,8,120 fall split,53.3,21.4,575.6,NA,NA,NA,1,139,150,128,144,139,120,Fall split,2,2,60
2019,Forever Green,IWG N,Staples,504,17,120 spring split,20.1,8.2,220.5,NA,NA,NA,0,131,143,126,127,142,120,Spring split,2,2,60
2019,Forever Green,IWG N,Staples,505,15,80 spring split,35.4,16.6,446.5,NA,NA,NA,0,131,147,126,137,148,80,Spring split,2,2,20
2019,Forever Green,IWG N,Staples,507,7,100 fall split,46,25.6,688.5,NA,NA,NA,1,136,122,117,132,116,100,Fall split,2,2,40
2019,Forever Green,IWG N,Staples,508,9,140 fall split,28.7,13.8,371.2,NA,NA,NA,1,131,119,122,118,134,140,Fall split,2,2,80
2019,Forever Green,IWG N,Staples,512,18,140 spring split,16.6,7.2,193.7,NA,NA,NA,0,125,131,139,157,133,140,Spring split,2,2,80
2019,Forever Green,IWG N,Staples,514,6,80 fall split,56.7,23.6,634.7,NA,NA,NA,0,132,122,138,147,145,80,Fall split,2,2,20
2019,Forever Green,IWG N,Staples,517,1,control,3.5,2,53.79,NA,NA,NA,2,139,99,121,135,121,0,control,2,2,0
2019,Forever Green,IWG N,Staples,518,16,100 spring split,30.3,14.6,392.7,NA,NA,NA,0,130,117,130,127,95,100,Spring split,2,2,40
2019,Forever Green,IWG N,Staples,601,16,100 spring split,47.2,20.4,548.7,NA,NA,NA,1,121,127,112,122,119,100,Spring split,3,2,40
2019,Forever Green,IWG N,Staples,603,17,120 spring split,35.5,14,376.5,NA,NA,NA,1,127,121,102,123,118,120,Spring split,3,2,60
2019,Forever Green,IWG N,Staples,605,1,control,9.8,5,134.5,NA,NA,NA,3,132,110,108,131,105,0,control,3,2,0
2019,Forever Green,IWG N,Staples,606,9,140 fall split,36.5,18,484.1,NA,NA,NA,0,133,125,109,104,127,140,Fall split,3,2,80
2019,Forever Green,IWG N,Staples,611,7,100 fall split,59.5,23.6,634.7,NA,NA,NA,0,149,136,107,160,122,100,Fall split,3,2,40
2019,Forever Green,IWG N,Staples,614,8,120 fall split,60,29,780,NA,NA,NA,0,132,146,119,143,99,120,Fall split,3,2,60
2019,Forever Green,IWG N,Staples,615,6,80 fall split,65.1,27,726.2,NA,NA,NA,2,128,129,132,138,153,80,Fall split,3,2,20
2019,Forever Green,IWG N,Staples,616,15,80 spring split,34.5,17.4,468,NA,NA,NA,1,136,126,139,112,119,80,Spring split,3,2,20
2019,Forever Green,IWG N,Staples,618,18,140 spring split,25.6,12.4,333.5,NA,NA,NA,0,143,97,144,124,130,140,Spring split,3,2,80
2020,Forever Green,IWG N,Staples,403,7,100 fall split,27,10.1,271.6,89.1,62.1,8/5/2020,0,111,95,109,115,108,100,Fall split,1,3,40
2020,Forever Green,IWG N,Staples,404,16,100 spring split,16.5,8.4,225.9,78.9,62.4,8/5/2020,0,111,93,105,112,107,100,Spring split,1,3,40
2020,Forever Green,IWG N,Staples,408,1,control,14.6,6.6,177.5,76.8,62.2,8/5/2020,0,114,107,128,90,97,0,control,1,3,0
2020,Forever Green,IWG N,Staples,410,8,120 fall split,32.3,10.5,282.4,94.3,62,8/5/2020,0,132,112,111,123,110,120,Fall split,1,3,60
2020,Forever Green,IWG N,Staples,411,17,120 spring split,26.5,13.8,371.2,88.3,61.8,8/5/2020,0,127,103,110,95,118,120,Spring split,1,3,60
2020,Forever Green,IWG N,Staples,412,18,140 spring split,24.3,12.8,344.3,86.5,62.2,8/5/2020,0,110,125,139,107,114,140,Spring split,1,3,80
2020,Forever Green,IWG N,Staples,413,9,140 fall split,20.9,9.2,247.4,83.3,62.4,8/5/2020,0,130,121,103,116,104,140,Fall split,1,3,80
2020,Forever Green,IWG N,Staples,415,15,80 spring split,16.1,6.7,180.2,77.8,61.7,8/5/2020,0,113,99,111,119,103,80,Spring split,1,3,20
2020,Forever Green,IWG N,Staples,418,6,80 fall split,30.4,15.4,414.2,92.5,62.1,8/5/2020,0,104,105,117,92,115,80,Fall split,1,3,20
2020,Forever Green,IWG N,Staples,502,8,120 fall split,25.7,12.3,330.8,87.7,62,8/5/2020,0,93,88,101,98,93,120,Fall split,2,3,60
2020,Forever Green,IWG N,Staples,504,17,120 spring split,9.4,4.8,129.1,71.8,62.4,8/5/2020,0,95,100,73,105,92,120,Spring split,2,3,60
2020,Forever Green,IWG N,Staples,505,15,80 spring split,18.8,9.3,250.1,80.9,62.1,8/5/2020,0,115,93,94,116,118,80,Spring split,2,3,20
2020,Forever Green,IWG N,Staples,507,7,100 fall split,32.2,15,403.4,94.8,62.6,8/5/2020,0,94,117,79,99,117,100,Fall split,2,3,40
2020,Forever Green,IWG N,Staples,508,9,140 fall split,26.6,12.6,338.9,89,62.4,8/5/2020,0,94,90,107,100,95,140,Fall split,2,3,80
2020,Forever Green,IWG N,Staples,512,18,140 spring split,17,8.3,223.2,79.7,62.7,8/5/2020,0,122,74,98,97,101,140,Spring split,2,3,80
2020,Forever Green,IWG N,Staples,514,6,80 fall split,30,14.4,387.3,92.8,62.8,8/5/2020,0,127,109,104,105,112,80,Fall split,2,3,20
2020,Forever Green,IWG N,Staples,517,1,control,4.6,2.1,56.48,67.5,62.9,8/5/2020,0,96,80,95,93,102,0,control,2,3,0
