Year,Funding_Source,Experiment,location ,ID,Trt_code,Treatment,Lodging_at_harvest,Height1,Height2,Height3,Height4,Height5,Dry_seedheads(g),Threshed_grain_plot_yield(g),Threshed_grain_yield(kg/ha),Seedhead_in_bag(g),bag_tare(g)
2018,Forever Green,IWG N,RSMT R-100,101,4,100 fall,,,,,,,65.8,29.8,323.4600237,,
2018,Forever Green,IWG N,RSMT R-100,102,5,120 fall,,,,,,,82.4,41.7,452.6269458,,
2018,Forever Green,IWG N,RSMT R-100,103,6,80 fall split,,,,,,,64.3,25.5,276.7862618,,
2018,Forever Green,IWG N,RSMT R-100,104,12,100 spring,,,,,,,131.1,40.3,437.4308374,,
2018,Forever Green,IWG N,RSMT R-100,105,11,80 spring,,,,,,,123.3,45.6,494.9589624,,
2018,Forever Green,IWG N,RSMT R-100,106,17,120 spring split,,,,,,,143.5,44.5,483.0191628,,
2018,Forever Green,IWG N,RSMT R-100,107,15,80 spring split,,,,,,,154.9,49.3,535.1201062,,
2018,Forever Green,IWG N,RSMT R-100,108,7,100 fall split,,,,,,,165.7,61.7,669.71421,,
2018,Forever Green,IWG N,RSMT R-100,109,16,100 spring split,,,,,,,144.4,41.3,448.2852006,,
2018,Forever Green,IWG N,RSMT R-100,110,3,80 fall,,,,,,,98.9,34.8,377.7318397,,
2018,Forever Green,IWG N,RSMT R-100,111,9,140 fall split,,,,,,,133.2,43.3,469.993927,,
2018,Forever Green,IWG N,RSMT R-100,112,18,140 spring split,,,,,,,160,64.1,695.7646817,,
2018,Forever Green,IWG N,RSMT R-100,113,14,140 spring,,,,,,,247.7,95.6,1037.677123,,
2018,Forever Green,IWG N,RSMT R-100,114,8,120 fall split,,,,,,,184,64.6,701.1918634,,
2018,Forever Green,IWG N,RSMT R-100,115,2,60 fall,,,,,,,137.6,47.2,512.3259435,,
2018,Forever Green,IWG N,RSMT R-100,116,1,control,,,,,,,168.5,53,575.2812501,,
2018,Forever Green,IWG N,RSMT R-100,117,10,60 spring,,,,,,,156,53.6,581.793868,,
2018,Forever Green,IWG N,RSMT R-100,118,13,120 spring,,,,,,,241.2,71.3,773.9160969,,
2018,Forever Green,IWG N,RSMT R-100,201,1,control,,,,,,,126.7,50.7,550.3162147,,
2018,Forever Green,IWG N,RSMT R-100,202,15,80 spring split,,,,,,,212.5,75.3,817.3335497,,
2018,Forever Green,IWG N,RSMT R-100,203,6,80 fall split,,,,,,,97.1,39.2,425.4910378,,
2018,Forever Green,IWG N,RSMT R-100,204,12,100 spring,,,,,,,182.4,54.8,594.8191039,,
2018,Forever Green,IWG N,RSMT R-100,205,11,80 spring,,,,,,,142.8,38,412.465802,,
2018,Forever Green,IWG N,RSMT R-100,206,16,100 spring split,,,,,,,154.5,51,553.5725237,,
2018,Forever Green,IWG N,RSMT R-100,207,3,80 fall,,,,,,,130.4,55.9,606.7589034,,
2018,Forever Green,IWG N,RSMT R-100,208,13,120 spring,,,,,,,157.8,50.9,552.4870874,,
2018,Forever Green,IWG N,RSMT R-100,209,14,140 spring,,,,,,,110,14.9,161.7300118,,
2018,Forever Green,IWG N,RSMT R-100,210,5,120 fall,,,,,,,153.1,64.4,699.0209907,,
2018,Forever Green,IWG N,RSMT R-100,211,18,140 spring split,,,,,,,168.3,53.5,580.7084317,,
2018,Forever Green,IWG N,RSMT R-100,212,7,100 fall split,,,,,,,141,52.2,566.5977596,,
2018,Forever Green,IWG N,RSMT R-100,213,4,100 fall,,,,,,,136.5,51,553.5725237,,
2018,Forever Green,IWG N,RSMT R-100,214,8,120 fall split,,,,,,,192,32.8,356.0231133,,
2018,Forever Green,IWG N,RSMT R-100,215,9,140 fall split,,,,,,,126.7,40.3,437.4308374,,
2018,Forever Green,IWG N,RSMT R-100,216,2,60 fall,,,,,,,99.3,43.7,474.3356723,,
