"year","location","id","block","stand.age","treatment","fall","spring","summer","yield.kgperha","lodging","height_1","height_2","height_3","height_4","height_5","cumn","cumulative.grain.yield"
"2019","RSMT V17","101","1","1","control",0,0,0,786.7,"0","164","179","167","157","170",0,NA
"2019","RSMT V17","102","1","1","80 Fall",0,0,0,802.8,"1","166","167","172","142","160",0,NA
"2019","RSMT V17","103","1","1","80 Spring",0,80,0,835.1,"1","160","165","159","148","159",80,NA
"2019","RSMT V17","104","1","1","80 Split",0,40,0,447.8,"0","169","163","143","172","152",40,NA
"2019","RSMT V17","201","2","1","80 Spring",0,80,0,508.3,"0","179","174","161","175","176",80,NA
"2019","RSMT V17","202","2","1","80 Split",0,40,0,875.5,"1","168","167","148","163","156",40,NA
"2019","RSMT V17","203","2","1","control",0,0,0,722.2,"0","166","180","179","174","179",0,NA
"2019","RSMT V17","204","2","1","80 Fall",0,0,0,641.5,"0","172","151","163","168","167",0,NA
"2019","RSMT V17","301","3","1","control",0,0,0,439.7,"0","165","160","151","168","169",0,NA
"2019","RSMT V17","302","3","1","80 Fall",0,0,0,794.8,"0","164","162","179","161","154",0,NA
"2019","RSMT V17","303","3","1","80 Spring",0,80,0,621.3,"0","163","174","152","163","180",80,NA
"2019","RSMT V17","304","3","1","80 Split",0,40,0,698,"1","152","162","185","160","164",40,NA
"2019","RSMT V17","401","4","1","80 Fall",0,0,0,649.5,"1","163","136","140","168","130",0,NA
"2019","RSMT V17","402","4","1","control",0,0,0,576.9,"1","165","171","135","160","131",0,NA
"2019","RSMT V17","403","4","1","80 Spring",0,80,0,706,"0","166","159","162","147","161",80,NA
"2019","RSMT V17","404","4","1","80 Split",0,40,0,863.4,"1","148","145","160","152","149",40,NA
"2020","RSMT V17","101","1","2","control",0,0,0,NA,"2","148","136","166","171","166",0,NA
"2020","RSMT V17","102","1","2","80 Fall",80,0,0,1031,"2","154","156","144","165","153",80,NA
"2020","RSMT V17","103","1","2","80 Spring",0,80,0,1053,"2","165","166","155","147","160",80,NA
"2020","RSMT V17","104","1","2","80 Split",40,40,0,1331,"3","157","162","174","170","152",80,NA
"2020","RSMT V17","201","2","2","80 Spring",0,80,0,1071,"3","177","152","156","153","161",80,NA
"2020","RSMT V17","202","2","2","80 Split",40,40,0,917.8,"2","155","152","155","159","160",80,NA
"2020","RSMT V17","203","2","2","control",0,0,0,792.8,"1","152","136","137","170","150",0,NA
"2020","RSMT V17","204","2","2","80 Fall",80,0,0,808.9,"3","167","141","165","169","163",80,NA
"2020","RSMT V17","301","3","2","control",0,0,0,679.8,"1","145","152","161","146","137",0,NA
"2020","RSMT V17","302","3","2","80 Fall",80,0,0,1295,"3","182","148","131","178","160",80,NA
"2020","RSMT V17","303","3","2","80 Spring",0,80,0,738.3,"2","156","135","153","158","146",80,NA
"2020","RSMT V17","304","3","2","80 Split",40,40,0,764.5,"2","169","158","157","154","152",80,NA
"2020","RSMT V17","401","4","2","80 Fall",80,0,0,1053,"3","169","142","165","141","165",80,NA
"2020","RSMT V17","402","4","2","control",0,0,0,750.4,"2","132","140","142","157","147",0,NA
"2020","RSMT V17","403","4","2","80 Spring",0,80,0,1017,"0","145","136","133","140","160",80,NA
"2020","RSMT V17","404","4","2","80 Split",40,40,0,1009,"3","154","155","140","169","148",80,NA
"2021","RSMT V17","101","1","3","control",0,0,0,137.2,NA,NA,NA,NA,NA,NA,0,NA
"2021","RSMT V17","102","1","3","80 Fall",80,0,0,284.4,NA,NA,NA,NA,NA,NA,80,NA
"2021","RSMT V17","103","1","3","80 Spring",0,80,0,361.1,NA,NA,NA,NA,NA,NA,80,NA
"2021","RSMT V17","104","1","3","80 Split",40,40,0,270.3,NA,NA,NA,NA,NA,NA,80,NA
"2021","RSMT V17","201","2","3","80 Spring",0,80,0,351,NA,NA,NA,NA,NA,NA,80,NA
"2021","RSMT V17","202","2","3","80 Split",40,40,0,383.3,NA,NA,NA,NA,NA,NA,80,NA
"2021","RSMT V17","203","2","3","control",0,0,0,205.8,NA,NA,NA,NA,NA,NA,0,NA
"2021","RSMT V17","204","2","3","80 Fall",80,0,0,435.7,NA,NA,NA,NA,NA,NA,80,NA
"2021","RSMT V17","301","3","3","control",0,0,0,153.3,NA,NA,NA,NA,NA,NA,0,NA
"2021","RSMT V17","302","3","3","80 Fall",80,0,0,609.2,NA,NA,NA,NA,NA,NA,80,NA
"2021","RSMT V17","303","3","3","80 Spring",0,80,0,470,NA,NA,NA,NA,NA,NA,80,NA
"2021","RSMT V17","304","3","3","80 Split",40,40,0,383.3,NA,NA,NA,NA,NA,NA,80,NA
"2021","RSMT V17","401","4","3","80 Fall",80,0,0,280.4,NA,NA,NA,NA,NA,NA,80,NA
"2021","RSMT V17","402","4","3","control",0,0,0,240,NA,NA,NA,NA,NA,NA,0,NA
"2021","RSMT V17","403","4","3","80 Spring",0,80,0,336.9,NA,NA,NA,NA,NA,NA,80,NA
"2021","RSMT V17","404","4","3","80 Split",40,40,0,250.1,NA,NA,NA,NA,NA,NA,80,NA
"2018","RSMT R-100","101","1","2","100 fall",0,0,40,323.5,NA,NA,NA,NA,NA,NA,40,NA
"2018","RSMT R-100","102","1","2","120 fall",0,0,60,452.6,NA,NA,NA,NA,NA,NA,60,NA
"2018","RSMT R-100","103","1","2","80 fall split",0,0,20,276.8,NA,NA,NA,NA,NA,NA,20,NA
"2018","RSMT R-100","104","1","2","100 spring",0,60,40,437.4,NA,NA,NA,NA,NA,NA,100,NA
"2018","RSMT R-100","105","1","2","80 spring",0,60,20,495,NA,NA,NA,NA,NA,NA,80,NA
"2018","RSMT R-100","106","1","2","120 spring split",0,60,60,483,NA,NA,NA,NA,NA,NA,120,NA
"2018","RSMT R-100","107","1","2","80 spring split",0,60,20,535.1,NA,NA,NA,NA,NA,NA,80,NA
"2018","RSMT R-100","108","1","2","100 fall split",0,0,40,669.7,NA,NA,NA,NA,NA,NA,40,NA
"2018","RSMT R-100","109","1","2","100 spring split",0,60,40,448.3,NA,NA,NA,NA,NA,NA,100,NA
"2018","RSMT R-100","110","1","2","80 fall",0,0,20,377.7,NA,NA,NA,NA,NA,NA,20,NA
"2018","RSMT R-100","111","1","2","140 fall split",0,0,80,470,NA,NA,NA,NA,NA,NA,80,NA
"2018","RSMT R-100","112","1","2","140 spring split",0,60,80,695.8,NA,NA,NA,NA,NA,NA,140,NA
"2018","RSMT R-100","113","1","2","140 spring",0,60,80,1038,NA,NA,NA,NA,NA,NA,140,NA
"2018","RSMT R-100","114","1","2","120 fall split",0,0,60,701.2,NA,NA,NA,NA,NA,NA,60,NA
"2018","RSMT R-100","115","1","2","60 fall",0,0,0,512.3,NA,NA,NA,NA,NA,NA,0,NA
"2018","RSMT R-100","116","1","2","control",0,0,0,575.3,NA,NA,NA,NA,NA,NA,0,NA
"2018","RSMT R-100","117","1","2","60 spring",0,60,0,581.8,NA,NA,NA,NA,NA,NA,60,NA
"2018","RSMT R-100","118","1","2","120 spring",0,60,60,773.9,NA,NA,NA,NA,NA,NA,120,NA
"2018","RSMT R-100","201","2","2","control",0,0,0,550.3,NA,NA,NA,NA,NA,NA,0,NA
"2018","RSMT R-100","202","2","2","80 spring split",0,60,20,817.3,NA,NA,NA,NA,NA,NA,80,NA
"2018","RSMT R-100","203","2","2","80 fall split",0,0,20,425.5,NA,NA,NA,NA,NA,NA,20,NA
"2018","RSMT R-100","204","2","2","100 spring",0,60,40,594.8,NA,NA,NA,NA,NA,NA,100,NA
"2018","RSMT R-100","205","2","2","80 spring",0,60,20,412.5,NA,NA,NA,NA,NA,NA,80,NA
"2018","RSMT R-100","206","2","2","100 spring split",0,60,40,553.6,NA,NA,NA,NA,NA,NA,100,NA
"2018","RSMT R-100","207","2","2","80 fall",0,0,20,606.8,NA,NA,NA,NA,NA,NA,20,NA
"2018","RSMT R-100","208","2","2","120 spring",0,60,60,552.5,NA,NA,NA,NA,NA,NA,120,NA
"2018","RSMT R-100","209","2","2","140 spring",0,60,80,161.7,NA,NA,NA,NA,NA,NA,140,NA
"2018","RSMT R-100","210","2","2","120 fall",0,0,60,699,NA,NA,NA,NA,NA,NA,60,NA
"2018","RSMT R-100","211","2","2","140 spring split",0,60,80,580.7,NA,NA,NA,NA,NA,NA,140,NA
"2018","RSMT R-100","212","2","2","100 fall split",0,0,40,566.6,NA,NA,NA,NA,NA,NA,40,NA
"2018","RSMT R-100","213","2","2","100 fall",0,0,40,553.6,NA,NA,NA,NA,NA,NA,40,NA
"2018","RSMT R-100","214","2","2","120 fall split",0,0,60,356,NA,NA,NA,NA,NA,NA,60,NA
"2018","RSMT R-100","215","2","2","140 fall split",0,0,80,437.4,NA,NA,NA,NA,NA,NA,80,NA
"2018","RSMT R-100","216","2","2","60 fall",0,0,0,474.3,NA,NA,NA,NA,NA,NA,0,NA
"2018","RSMT R-100","217","2","2","120 spring split",0,60,60,875.9,NA,NA,NA,NA,NA,NA,120,NA
"2018","RSMT R-100","218","2","2","60 spring",0,60,0,759.8,NA,NA,NA,NA,NA,NA,60,NA
