Contact,Clair Keene,clair.keene@ndsu.edu,,701-571-5409,,,,,,701-774-4315,May be Williston Extension Research Center number,,,,NDSU Williston REC,"14120 Highway 2  Williston, ND 58801"
Year,Experiment,Location,Block,Plot,Treatment,Sample,Whole_plant(g),sh_in_bag(g),sh_bag_tare(g),Seedheads(g),Threshed_grain_no_bag(g),,,,,
2020,Nitrogen Rate,NDSU,1,101,1,,,,,,14.7,,,,,
2020,Nitrogen Rate,NDSU,1,102,2,,,,,,17.7,,,,,
2020,Nitrogen Rate,NDSU,1,103,3,,,,,,25.5,,,,,
2020,Nitrogen Rate,NDSU,1,104,4,,,,,,21.4,,,,,
2020,Nitrogen Rate,NDSU,2,201,2,,,,,,18.8,,,,,
2020,Nitrogen Rate,NDSU,2,202,4,,,,,,33,,,,,
2020,Nitrogen Rate,NDSU,2,203,1,,,,,,15,,,,,
2020,Nitrogen Rate,NDSU,2,204,3,,,,,,9.8,,,,,
2020,Nitrogen Rate,NDSU,3,301,2,,,,,,15.9,,,,,
2020,Nitrogen Rate,NDSU,3,302,3,,,,,,16.8,,,,,
2020,Nitrogen Rate,NDSU,3,303,4,,,,,,19.2,,,,,
2020,Nitrogen Rate,NDSU,3,304,1,,,,,,3,,,,,
2020,Nitrogen Rate,NDSU,4,401,3,,,,,,14.4,,,,,
2020,Nitrogen Rate,NDSU,4,402,4,,,,,,19.9,,,,,
2020,Nitrogen Rate,NDSU,4,403,2,,,,,,19.5,,,,,
2020,Nitrogen Rate,NDSU,4,404,1,,,,,,22.6,,,,,
2020,IR4,NDSU,1,101,1,,211.1,,,45,24.2,,,,,
2020,IR4,NDSU,1,102,2,,175,,,85.4,41.3,,,,,
2020,IR4,NDSU,1,103,3,,204.9,,,44.3,24.7,,,,,
2020,IR4,NDSU,1,104,4,,117.4,,,28.8,16.3,,,,,
2020,IR4,NDSU,1,105,5,,122.3,,,39.5,22.9,,,,,
2020,IR4,NDSU,1,106,6,,132.4,,,30.4,15.1,,,,,
2020,IR4,NDSU,1,107,7,,200.9,,,44.5,23.2,,,,,
2020,IR4,NDSU,1,108,8,,110.3,,,26.7,14.9,,,,,
2020,IR4,NDSU,1,109,9,,207,,,42.7,23.1,,,,,
2020,IR4,NDSU,1,110,10,,100.5,,,23.5,13.2,,,,,
2020,IR4,NDSU,1,111,11,,166.5,,,31.2,13.2,,,,,
2020,IR4,NDSU,2,201,3,,217.2,,,53.9,26.8,,,,,
2020,IR4,NDSU,2,202,2,,184.8,,,48.6,27.2,,,,,
2020,IR4,NDSU,2,203,8,,177,,,47.9,25.5,,,,,
2020,IR4,NDSU,2,204,11,,115.1,,,17.8,6.6,,,,,
2020,IR4,NDSU,2,205,1,,151.9,,,33,17.3,,,,,
2020,IR4,NDSU,2,206,7,,141.6,,,37.3,18.8,,,,,
2020,IR4,NDSU,2,207,5,,189.8,,,54.5,28.3,,,,,
2020,IR4,NDSU,2,208,9,,198,,,55.7,31.4,,,,,
2020,IR4,NDSU,2,209,10,,213.5,,,55.6,33.8,,,,,
